;subjective_gain_numeric_fuel;subjective_gain_numeric_chauffage;subjective_gain_numeric_taxe_carbone
261;-187.39738963520722;-465.5885722240391;-455.4713024746252
262;-216.5931108742534;-236.11666963560992;-577.5510567631457
263;-248.67400773746976;-186.21360009002376;-651.1106988622079
264;-277.3601337834807;-160.05695350597898;-384.83410150433855
265;-277.3601337834807;-286.14879814731677;-570.0105692176203
266;-210.3187600068577;-209.58852328940293;-280.11435919710675
267;-216.26901165942846;-259.52750575396203;-396.58993215018137
268;-385.5603885900517;-362.11894917651125;-371.67125314856577
269;-385.5603885900517;-317.0103279494001;-288.47687446309357
270;-385.5603885900517;-305.2632347087633;-335.08019469159115
271;-385.5603885900517;-267.33299707658745;-487.1273752781999
272;-194.3501881563619;-320.5111924097191;-280.11435919710675
273;-171.05024336336646;-160.05695350597898;-280.11435919710675
274;-177.59094863923693;-212.92043628796637;-280.11435919710675
275;-277.3601337834807;-160.05695350597898;-280.11435919710675
276;-222.3568069407514;-291.6226344223219;-280.11435919710675
277;-251.77045136649244;-351.3094294005289;-570.0105692176203
278;-161.86586489443926;-384.95950238335956;-670.4017928451922
279;-421.2587119765485;-384.95950238335956;-280.11435919710675
280;-161.86586489443926;-164.90114504595567;-423.98287167132094
281;-277.3601337834807;-188.11597609014188;-280.11435919710675
282;-161.86586489443926;-160.05695350597898;-280.11435919710675
283;-210.3187600068577;-323.73463334890494;-329.7395778832898
284;-161.86586489443926;-169.65290669260233;-291.70770660628455
285;-179.95893369320444;-256.3431001673301;-280.11435919710675
286;-194.3501881563619;-181.25711525003499;-385.4612103106506
287;-216.5931108742534;-462.787338817473;-396.58993215018137
288;-421.2587119765485;-943.1467562032644;-280.11435919710675
289;-216.5931108742534;-357.5622903826252;-505.02024993174945
290;-421.2587119765485;-171.39785130735618;-405.5885722240391
291;-161.86586489443926;-299.17671659027775;-280.11435919710675
292;-161.86586489443926;-520.0172132490006;-341.492120256763
293;-277.3601337834807;-329.20150728928013;-651.1106988622079
294;-385.5603885900517;-382.56669018450503;-928.3649331895629
295;-277.3601337834807;-183.07592795440576;-423.98287167132094
296;-421.2587119765485;-160.05695350597898;-438.78795184793677
297;-171.25370045182808;-337.09553681200424;-432.034576365028
298;-211.61343056507576;-434.32074078546975;-455.4713024746252
299;-277.3601337834807;-249.2590388546596;-439.8085154229441
300;-385.5603885900517;-406.01377059920014;-384.83410150433855
301;-216.5931108742534;-313.6924089293603;-322.34876038469656
302;-620.0105692176203;-289.5297445875761;-316.96116571095354
303;-277.3601337834807;-337.09553681200424;-439.8085154229441
304;-248.67400773746976;-160.05695350597898;-438.78795184793677
305;-161.86586489443926;-224.02328883643563;-651.1106988622079
306;-161.86586489443926;-448.76507488541665;-432.034576365028
307;-222.3568069407514;-303.44042385310786;-280.11435919710675
308;-222.3568069407514;-382.34876038469656;-384.83410150433855
309;-456.15595969421094;-462.787338817473;-280.11435919710675
310;-477.95739321943864;-173.15484652939404;-449.42427246446414
311;-277.3601337834807;-442.49488440031655;-308.04308273254264
312;-161.86586489443926;-228.8872421354014;-476.6744031296903
313;-161.86586489443926;-160.05695350597898;-432.034576365028
314;-277.3601337834807;-160.05695350597898;-280.11435919710675
315;-161.86586489443926;-220.75817439434059;-487.1273752781999
316;-277.3601337834807;-343.68542765471966;-280.11435919710675
317;-161.86586489443926;-225.95347928563797;-287.1697835264119
318;-385.5603885900517;-169.65290669260233;-280.11435919710675
319;-277.3601337834807;-198.74623296714466;-577.5510567631457
320;-161.86586489443926;-291.6226344223219;-670.4017928451922
321;-385.5603885900517;-241.11636934982516;-651.1106988622079
322;-271.7396932681486;-225.95347928563797;-291.70770660628455
323;-222.3568069407514;-434.32074078546975;-577.5510567631457
324;-404.17510895400204;-214.74449585693068;-341.492120256763
325;-261.64808162939244;-229.58099734538746;-323.0467696946885
326;-385.5603885900517;-291.6226344223219;-670.4017928451922
327;-385.5603885900517;-214.47645127863552;-329.7395778832898
328;-179.95893369320444;-310.15414822260175;-280.11435919710675
329;-161.86586489443926;-391.7633307733031;-280.11435919710675
330;-277.3601337834807;-357.5622903826252;-570.0105692176203
331;-161.86586489443926;-160.05695350597898;-535.8767380446197
332;-161.86586489443926;-297.23443671906307;-280.11435919710675
333;-261.64808162939244;-236.43365060708993;-280.11435919710675
334;-385.5603885900517;-267.33299707658745;-384.83410150433855
335;-421.2587119765485;-160.05695350597898;-604.420531528744
336;-161.86586489443926;-169.65290669260233;-423.98287167132094
337;-161.86586489443926;-465.5885722240391;-280.11435919710675
338;-263.34128543179486;-305.2632347087633;-505.02024993174945
339;-251.77045136649244;-184.84709033944068;-928.3649331895629
340;-161.86586489443926;-160.05695350597898;-360.56965784366514
341;-179.95893369320444;-280.2511915189589;-300.67604799527976
342;-222.2523232522759;-224.02328883643563;-439.8085154229441
343;-161.86586489443926;-434.32074078546975;-570.0105692176203
344;-222.2523232522759;-192.25732512549757;-283.0645962638473
345;-161.86586489443926;-160.05695350597898;-379.2021188092017
346;-216.5931108742534;-251.67526063160372;-505.02024993174945
347;-277.3601337834807;-329.20150728928013;-526.657529828099
348;-385.5603885900517;-160.05695350597898;-535.8767380446197
349;-161.86586489443926;-200.80757382956017;-280.11435919710675
350;-169.7997839474725;-246.39523895179232;-423.98287167132094
351;-161.86586489443926;-442.9562185292298;-280.11435919710675
352;-166.42883840343256;-160.05695350597898;-335.08019469159115
353;-385.5603885900517;-541.1919427624438;-280.11435919710675
354;-620.0105692176203;-451.5830095810422;-476.6744031296903
355;-277.3601337834807;-323.73463334890494;-570.0105692176203
356;-277.3601337834807;-160.05695350597898;-280.11435919710675
357;-222.3568069407514;-204.17384518353174;-526.657529828099
358;-179.95893369320444;-349.6513900043892;-570.0105692176203
359;-385.5603885900517;-359.58784120695327;-505.02024993174945
360;-277.3601337834807;-313.34480883266707;-455.9913009867364
361;-222.2523232522759;-297.23443671906307;-526.657529828099
362;-277.3601337834807;-160.05695350597898;-365.4491835054423
363;-277.3601337834807;-434.32074078546975;-333.8357452481886
364;-161.86586489443926;-160.05695350597898;-280.11435919710675
365;-385.5603885900517;-160.05695350597898;-280.11435919710675
366;-187.39738963520722;-160.05695350597898;-432.034576365028
367;-216.5931108742534;-160.05695350597898;-423.98287167132094
368;-277.3601337834807;-160.05695350597898;-280.11435919710675
369;-277.3601337834807;-160.05695350597898;-505.02024993174945
370;-456.15595969421094;-160.05695350597898;-928.3649331895629
371;-222.3568069407514;-225.95347928563797;-928.3649331895629
372;-271.7396932681486;-183.57088754432758;-280.11435919710675
373;-161.86586489443926;-160.05695350597898;-280.11435919710675
374;-161.86586489443926;-367.1987572855214;-280.11435919710675
375;-210.3187600068577;-160.05695350597898;-449.42427246446414
376;-277.3601337834807;-590.5948937072035;-322.34876038469656
377;-253.8510412230762;-434.32074078546975;-329.7395778832898
378;-385.5603885900517;-313.34480883266707;-280.11435919710675
379;-385.5603885900517;-212.92043628796637;-280.11435919710675
380;-210.3187600068577;-301.98564342326654;-928.3649331895629
381;-161.86586489443926;-243.509109242499;-280.11435919710675
382;-194.3501881563619;-160.05695350597898;-570.0105692176203
383;-277.3601337834807;-168.02861413757424;-280.11435919710675
384;-253.8510412230762;-434.32074078546975;-280.11435919710675
385;-403.2942604051059;-160.05695350597898;-411.29072655277196
386;-222.3568069407514;-384.95950238335956;-280.11435919710675
387;-161.86586489443926;-160.05695350597898;-319.99323915540543
388;-385.5603885900517;-243.509109242499;-476.6744031296903
389;-166.42883840343256;-211.05133278196715;-379.2021188092017
390;-187.39738963520722;-427.82078115811237;-535.8767380446197
391;-248.67400773746976;-386.22520373813313;-341.492120256763
392;-385.5603885900517;-317.0103279494001;-461.3337259932479
393;-214.3774719457239;-160.05695350597898;-365.4491835054423
394;-385.5603885900517;-160.05695350597898;-570.0105692176203
395;-271.7396932681486;-259.52750575396203;-397.6144227104475
396;-385.5603885900517;-289.5297445875761;-432.034576365028
397;-210.3187600068577;-160.05695350597898;-390.90741735434153
398;-161.86586489443926;-329.20150728928013;-284.00193198860916
399;-277.3601337834807;-173.15484652939404;-311.6463981580505
400;-161.86586489443926;-351.3094294005289;-449.42427246446414
401;-385.5603885900517;-384.95950238335956;-280.11435919710675
402;-385.5603885900517;-515.4713024746252;-323.0467696946885
403;-385.5603885900517;-245.32521829726738;-280.11435919710675
404;-385.5603885900517;-370.9495767401524;-280.11435919710675
405;-277.3601337834807;-189.84107802942708;-280.11435919710675
406;-263.34128543179486;-352.55908036783967;-396.58993215018137
407;-222.3568069407514;-160.05695350597898;-409.43634763253976
408;-248.67400773746976;-291.6226344223219;-344.216884170536
409;-190.2350318186038;-160.05695350597898;-928.3649331895629
410;-161.86586489443926;-427.82078115811237;-670.4017928451922
411;-161.86586489443926;-160.05695350597898;-928.3649331895629
412;-277.3601337834807;-160.05695350597898;-405.5885722240391
413;-161.86586489443926;-357.5622903826252;-670.4017928451922
414;-210.3187600068577;-160.05695350597898;-535.8767380446197
415;-211.61343056507576;-357.5622903826252;-280.11435919710675
416;-404.17510895400204;-160.05695350597898;-341.492120256763
417;-161.86586489443926;-329.20150728928013;-280.11435919710675
418;-214.3774719457239;-259.67935779376086;-505.02024993174945
419;-210.3187600068577;-494.3606671743358;-280.11435919710675
420;-161.86586489443926;-541.1919427624438;-485.1574623469911
421;-421.2587119765485;-357.5622903826252;-526.657529828099
422;-277.3601337834807;-160.05695350597898;-670.4017928451922
423;-161.86586489443926;-160.05695350597898;-280.11435919710675
424;-277.3601337834807;-317.0103279494001;-411.29072655277196
425;-277.3601337834807;-166.17269256977306;-283.0645962638473
426;-277.3601337834807;-391.7633307733031;-487.1273752781999
427;-385.5603885900517;-204.35531010826116;-298.1300324934222
428;-404.17510895400204;-271.60442890528975;-298.1300324934222
429;-166.42883840343256;-220.75817439434059;-280.11435919710675
430;-210.3187600068577;-273.48477896294753;-535.8767380446197
431;-161.86586489443926;-160.05695350597898;-570.0105692176203
432;-161.86586489443926;-160.05695350597898;-570.0105692176203
433;-277.3601337834807;-160.05695350597898;-280.11435919710675
434;-385.5603885900517;-313.6924089293603;-651.1106988622079
435;-194.3501881563619;-160.05695350597898;-476.6744031296903
436;-456.15595969421094;-269.957829785445;-526.657529828099
437;-404.17510895400204;-362.11894917651125;-280.11435919710675
438;-222.3568069407514;-160.05695350597898;-280.11435919710675
439;-211.61343056507576;-317.0103279494001;-670.4017928451922
440;-277.3601337834807;-160.05695350597898;-379.2021188092017
441;-277.3601337834807;-246.84278669476407;-449.42427246446414
442;-277.3601337834807;-192.25732512549757;-280.11435919710675
443;-194.3501881563619;-494.3606671743358;-280.11435919710675
444;-421.2587119765485;-520.0172132490006;-651.1106988622079
445;-385.5603885900517;-160.05695350597898;-487.1273752781999
446;-277.3601337834807;-357.5622903826252;-385.4612103106506
447;-263.34128543179486;-377.5128909474056;-391.586775983083
448;-277.3601337834807;-160.05695350597898;-526.657529828099
449;-161.86586489443926;-212.95860721869929;-670.4017928451922
450;-222.3568069407514;-339.0966503611323;-526.657529828099
451;-277.3601337834807;-225.95347928563797;-651.1106988622079
452;-385.5603885900517;-160.05695350597898;-535.8767380446197
453;-179.95893369320444;-428.5867047272845;-597.6015713287527
454;-277.3601337834807;-348.45044772100545;-411.29072655277196
455;-161.86586489443926;-218.2014979459709;-487.1273752781999
456;-161.86586489443926;-397.7317007804456;-280.11435919710675
457;-385.5603885900517;-214.74449585693068;-449.42427246446414
458;-277.3601337834807;-174.05813217213233;-928.3649331895629
459;-237.43322123804262;-160.05695350597898;-280.11435919710675
460;-253.8510412230762;-308.8967757407522;-505.02024993174945
461;-261.64808162939244;-357.5622903826252;-389.9508216555677
462;-263.34128543179486;-173.45649297664536;-280.11435919710675
463;-277.3601337834807;-382.34876038469656;-289.6513900043892
464;-277.3601337834807;-251.67526063160372;-577.5510567631457
465;-403.2942604051059;-494.3606671743358;-280.11435919710675
466;-277.3601337834807;-280.2511915189589;-577.5510567631457
467;-277.3601337834807;-188.55220013673124;-461.3337259932479
468;-161.86586489443926;-170.8405118501984;-280.11435919710675
469;-261.64808162939244;-339.0966503611323;-280.11435919710675
470;-253.8510412230762;-261.3719316960173;-413.6210315172359
471;-161.86586489443926;-259.52750575396203;-928.3649331895629
472;-277.3601337834807;-343.68542765471966;-670.4017928451922
473;-385.5603885900517;-317.0103279494001;-348.13862368669015
474;-277.3601337834807;-320.5111924097191;-371.67125314856577
475;-403.2942604051059;-297.23443671906307;-449.42427246446414
476;-277.3601337834807;-286.14879814731677;-468.6514533800871
