;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
0;51.4;65.0;3.30;3;1310.9040608
1;;70.0;3.30;3;1313.0653941
3;12.0;12.0;3.32;3;1233.8293495
4;;30.0;3.30;3;320.08174428
5;23.1;25.0;3.30;3;319.55488298
6;;;;;328.8003712
7;12.0;15.0;3.30;3;328.25915885
8;12.0;12.0;5.57;5;675.16357715
9;23.1;22.0;3.30;3;337.27417345
10;49.1;58.0;3.30;3;318.27918484
11;49.1;58.0;3.30;3;318.80394285
12;7.3;5.0;3.32;3;599.13186836
13;;60.0;3.30;3;904.80920704
14;31.1;30.0;3.30;3;906.30099759
15;;4.0;4.43;4;913.36769414
16;20.3;18.0;3.31;3;315.23997948
17;;15.0;3.30;3;315.75972665
18;17.4;25.0;3.32;3;926.98157081
20;17.4;25.0;3.31;3;926.98157081
21;;17.0;3.31;3;261.99954507
22;;45.0;3.30;3;262.43151288
23;2.6;3.0;5.53;5;541.24858522
24;2.6;3.0;3.32;3;261.32390581
25;15.2;15.0;5.52;5;585.41252605
26;;26.0;3.30;3;586.37771614
27;15.2;15.0;5.52;5;1173.8250585
28;;30.0;3.30;3;185.84144934
29;;20.0;3.30;3;609.36066194
30;;30.0;3.30;3;613.13432259
31;;1.0;1.10;1;282.27491421
32;15.2;15.0;3.30;3;282.74031072
33;12.4;15.0;4.43;4;835.91820504
34;;0.3;1.10;1;308.35272341
35;;37.0;3.30;3;307.84516833
36;;35.0;3.30;3;495.98808223
37;;53.0;3.30;3;303.92833781
38;22.8;20.0;3.30;3;303.42806536
39;;20.0;3.30;3;313.06736914
40;;20.0;3.30;3;313.58353425
41;11.3;12.0;4.43;4;719.71457492
42;;;;;370.64735593
43;;24.0;4.41;4;1184.8528526
44;;11.0;3.30;3;331.67771473
46;37.2;50.0;3.30;3;170.9153551
47;;30.0;3.30;3;502.91667533
48;;1.0;3.32;3;1424.2501741
49;;8.0;3.30;3;505.23832352
50;;40.0;3.30;3;257.85044081
51;22.8;27.0;3.30;3;256.26344751
52;;1.0;3.32;3;259.4538398
53;;1.0;3.32;3;256.35988642
54;;1.5;3.32;3;257.11860161
55;;50.0;3.30;3;319.91348143
56;42.0;53.0;3.30;3;319.3868971
57;;53.0;3.30;3;315.91285738
59;;65.0;2.24;2;215.57875195
60;16.0;20.0;3.30;3;215.22390478
61;19.0;25.0;3.30;3;212.88286826
63;7.5;7.0;2.24;2;494.78098458
64;;20.0;2.24;2;247.39049229
65;;0.0;1.10;1;737.59136084
66;;40.0;3.30;3;244.43368111
68;49.7;60.0;3.30;3;318.3751164
70;;30.0;3.30;3;318.90003258
71;5.6;5.0;3.30;3;321.92423806
72;;;;;322.4550058
73;;12.0;4.43;4;635.55613739
74;13.4;15.0;3.31;3;604.90988314
76;;40.0;3.30;3;608.65598092
77;13.4;15.0;3.32;3;606.92847445
78;13.4;15.0;3.32;3;606.92847445
79;;;;;285.03297347
80;38.0;40.0;3.30;3;285.50291729
81;;0.0;;;571.52662759
82;10.8;12.0;3.30;3;268.60609316
83;;45.0;3.30;3;263.14473092
84;18.8;21.0;3.30;3;262.71158915
85;;0.6;3.32;3;247.26543981
86;3.3;3.5;3.32;3;262.80962214
87;18.8;21.0;3.32;3;262.03411367
88;;65.0;5.57;5;268.60609316
89;9.0;15.0;3.30;3;312.79564977
90;0.0;3.0;3.32;3;630.46921966
91;33.0;40.0;3.30;3;284.61174524
92;;37.0;3.30;3;284.1432683
93;4.4;5.0;5.52;5;560.96738524
94;;65.0;3.30;3;163.78417378
95;;38.0;3.30;3;326.2922949
96;;62.0;3.31;3;305.08263397
97;;62.0;3.32;3;303.68073211
98;0.0;0.3;1.10;1;303.79501542
99;9.2;7.0;3.30;3;321.30443188
100;9.2;5.0;3.30;3;321.83417772
101;9.2;5.0;5.52;5;663.76286695
102;;42.0;3.30;3;245.57374287
103;;;;;245.16952331
104;23.3;30.0;3.31;3;303.01540735
105;;37.0;3.31;3;302.5166376
106;9.2;12.0;3.32;3;597.24085037
107;;50.0;3.30;3;311.66938813
108;;50.0;3.30;3;311.15637375
109;;23.0;3.30;3;354.81885385
111;;25.0;5.57;5;1220.4306149
112;;63.0;3.30;3;1222.4427814
113;23.4;30.0;3.30;3;666.36367878
114;29.7;50.0;3.30;3;667.46233586
115;7.2;4.0;4.43;4;688.29966533
116;;20.0;3.30;3;590.91098659
117;25.2;30.0;3.30;3;590.91098659
118;30.2;30.0;3.30;3;1419.5040633
120;;45.0;5.57;5;1421.7315606
121;47.9;52.0;5.57;5;1459.0544704
122;6.5;6.0;3.30;3;1465.026918
123;;1.0;1.10;1;1465.5782475
124;;27.0;3.30;3;601.4759073
125;41.0;40.0;5.57;5;602.46758164
126;;10.0;5.57;5;1187.458598
127;;0.5;1.10;1;553.92846154
128;6.6;6.0;3.30;3;1357.3554112
129;;1.0;1.10;1;2804.0762274
130;;0.5;1.10;1;702.19196817
131;58.9;70.0;3.30;3;703.34969659
132;;1.0;1.10;1;2175.9221522
133;;45.0;2.24;2;1165.5227442
134;7.2;10.0;3.30;3;1163.6042692
135;17.3;20.0;5.57;5;1150.9474963
136;5.2;4.0;3.31;3;1274.6955043
137;5.2;6.0;3.32;3;1276.7971393
138;12.0;12.0;4.43;4;3949.9713906
139;51.8;60.0;5.57;5;1342.5421384
140;;;;;1344.7556346
141;34.7;30.0;5.57;5;1345.9821358
142;;;;;695.89394016
143;10.4;11.0;3.30;3;566.80936461
144;16.2;20.0;3.30;3;567.74388301
145;406.2;0.1;1.10;1;1136.5234018
146;24.2;25.0;3.30;3;578.05949056
147;24.2;25.0;3.30;3;577.10799246
148;;0.3;1.10;1;1229.8986988
149;28.1;28.0;2.24;2;651.40404055
150;;30.0;4.42;4;650.33181577
151;21.7;22.0;3.30;3;1270.4931129
152;50.6;0.0;1.10;1;1273.748499
153;;0.0;;;558.63888895
155;;10.0;5.50;5;1677.4452076
156;;15.0;5.57;5;697.3568021
157;8.7;12.0;3.30;3;696.2089381
158;;;;;697.99283509
159;;;;;673.56200746
160;;0.7;3.32;3;632.91636291
161;;;;;670.71920083
162;;;;;674.69780505
163;;5.0;3.30;3;672.53189577
164;;2.5;3.32;3;672.7828566
165;;2.5;3.32;3;670.79758376
166;26.3;33.0;3.30;3;1059.5220213
167;;;;;1061.2688923
168;;0.8;3.32;3;2991.6820127
169;14.1;14.0;3.31;3;1350.2340812
171;;9.0;5.57;5;1353.6937876
173;;;;;697.48452548
174;;0.4;1.10;1;696.33645125
175;16.1;25.0;3.30;3;698.12067497
176;;10.0;3.30;3;688.07150886
177;35.8;37.0;3.30;3;741.29449043
178;35.8;37.0;3.30;3;742.51668855
179;27.0;20.0;5.52;5;852.08568771
180;;1.0;3.30;3;1337.8484525
181;20.5;32.0;3.30;3;631.6044075
182;;0.5;1.10;1;636.52921361
183;;;;;628.93868531
184;7.3;5.0;3.30;3;1402.703586
185;;;;;653.68666141
186;7.9;20.0;5.57;5;644.20548933
187;18.7;20.0;3.30;3;556.79949849
188;;0.5;1.10;1;1122.2820573
189;;0.5;1.10;1;556.09042711
190;;;;;1184.4390186
191;88.5;100.0;3.30;3;1189.9068244
192;;1.0;3.32;3;1188.3915053
193;;1.0;3.32;3;1184.8847552
194;55.2;35.0;3.30;3;1359.3664513
195;6.3;7.0;3.30;3;644.48426102
196;7.0;6.5;3.31;3;643.42342634
197;21.4;20.0;3.30;3;636.42477187
199;;30.0;3.30;3;636.42477187
201;7.0;6.0;5.50;5;739.58716786
202;24.1;35.0;3.30;3;613.3393138
203;4.7;5.0;3.31;3;612.32974436
204;4.7;5.0;5.50;5;1304.9612302
205;;40.0;5.57;5;1306.0116071
206;14.1;15.0;3.30;3;1303.8618844
207;;0.8;2.20;2;1346.7836367
208;19.8;24.0;3.30;3;1431.0088661
209;40.6;50.0;5.57;5;1220.687608
210;7.9;15.0;5.57;5;1223.8153773
211;22.6;20.0;5.57;5;706.22311931
212;;10.0;3.30;3;587.62782138
213;2.9;3.5;3.30;3;586.6605736
214;;;;;580.27934084
215;22.6;20.0;5.57;5;588.16377468
216;22.6;25.0;3.31;3;1194.7326489
217;;45.0;2.24;2;1196.7024464
218;;2.0;3.32;3;1191.6516959
219;22.6;25.0;3.32;3;1191.6516959
220;;;;;687.25061967
221;;;;;686.11939066
222;2.9;6.0;3.30;3;606.55772011
223;4.3;4.0;3.30;3;609.35781346
224;;1.0;3.32;3;572.58652766
225;;1.0;3.32;3;606.78598428
226;;50.0;3.30;3;599.39101099
227;15.6;30.0;3.30;3;612.54439285
228;;0.5;1.10;1;611.53613186
229;;2.0;1.10;1;1226.2061432
230;11.2;10.0;3.30;3;657.28370835
231;40.5;55.0;5.57;5;656.20180551
232;;0.5;3.32;3;662.40874354
233;;0.8;3.32;3;656.44667263
234;10.3;10.0;5.50;5;1114.0821288
235;33.3;40.0;2.24;2;1052.9195211
236;;40.0;5.57;5;1039.7524137
237;;1.0;3.32;3;1061.1294456
238;;1.0;3.32;3;1048.4756146
239;;20.0;3.30;3;611.29981661
240;14.3;20.0;3.30;3;607.53744681
241;;0.5;3.32;3;609.56480632
242;;32.0;3.30;3;372.54991933
243;62.3;71.0;3.30;3;663.54656589
245;;2.0;5.52;5;1307.8447685
246;39.2;45.0;5.57;5;703.14767893
247;;50.0;5.57;5;699.91660666
248;25.1;35.0;3.33;3;1313.7073367
249;39.2;50.0;5.57;5;1311.5449467
250;;35.0;5.57;5;642.94437064
251;;2.0;3.30;3;641.88607065
252;;2.0;3.30;3;738.02674232
253;;;;;740.40357972
254;25.0;25.0;3.32;3;736.12353348
255;4.0;10.0;3.30;3;734.52552429
256;4.0;3.0;3.30;3;1482.5899714
257;12.8;8.0;3.30;3;1481.6172205
259;43.7;45.0;5.57;5;688.97532073
260;;0.4;1.10;1;698.49260654
261;24.1;30.0;3.30;3;699.6442357
262;49.7;50.0;5.58;5;697.80087111
263;;3.0;3.30;3;713.65270152
264;24.1;30.0;3.30;3;714.82932566
265;;3.0;3.32;3;720.40306102
266;49.7;50.0;5.58;5;643.79851912
267;49.7;50.0;5.58;5;644.85997223
268;;2.0;1.10;1;1329.983369
269;;1.0;5.53;5;642.13830418
270;;2.5;2.20;2;1434.3490168
271;50.4;55.0;5.58;5;1436.7138781
272;;50.0;5.58;5;686.51566223
273;;1.0;1.10;1;646.15191781
274;;10.0;3.32;3;684.74528915
275;;5.0;3.30;3;741.29449043
276;;2.5;3.30;3;730.85058354
277;;75.0;9.90;9;732.05556243
278;;2.5;5.50;5;1509.8188214
279;;1.2;3.31;3;724.68888493
280;25.5;33.0;3.30;3;729.17675246
281;;0.3;1.10;1;727.10718015
282;;2.0;3.32;3;727.10718015
283;0.0;0.8;1.10;1;1009.2355476
284;0.0;0.8;1.10;1;948.5293952
285;;;;;795.90877165
286;12.2;15.0;5.57;5;1061.7216294
287;0.0;10.0;5.56;5;1089.6237999
288;2.0;5.0;5.56;5;746.54389503
289;2.4;7.0;5.56;5;800.41454752
290;1.5;5.0;5.56;5;776.0373243
291;4.6;8.0;2.20;2;1077.5857979
292;;1.5;5.56;5;965.74714988
293;1.4;0.5;1.10;1;1048.0934209
294;;0.3;1.10;1;985.28664089
295;10.9;12.0;5.56;5;1101.8454349
296;;12.0;2.24;2;886.62647223
297;4.2;5.0;5.56;5;879.87871844
298;1.4;0.7;1.10;1;1054.5125076
299;;0.5;1.10;1;1235.0714534
300;1.1;0.6;1.10;1;1024.4028141
301;1.4;2.0;5.56;5;955.03435422
302;3.3;5.0;5.50;5;1080.6222245
303;3.2;6.0;5.56;5;1023.6678997
304;;1.5;2.20;2;1319.3494246
305;2.0;3.0;5.56;5;1319.3494246
306;4.2;6.0;3.30;3;774.12809652
307;3.7;5.0;5.56;5;1647.3450318
308;3.9;4.0;5.56;5;933.16398866
309;;3.0;5.56;5;933.16398866
310;;;;;573.98403822
311;;0.0;1.10;1;945.37274463
312;3.9;4.0;5.56;5;933.16398866
313;;5.0;5.56;5;1310.5959562
314;;;;;893.56984377
315;;0.0;;;1357.5208494
316;3.9;10.0;5.56;5;1427.8361623
317;1.0;1.5;5.56;5;867.3580786
318;3.5;5.0;5.56;5;822.44119747
319;3.9;4.0;5.56;5;849.06907298
320;4.8;6.0;5.56;5;785.5154083
321;;1.0;1.10;1;505.7346957
322;4.0;10.0;5.56;5;618.72273567
323;;0.2;1.10;1;1408.7254184
324;3.9;5.0;5.56;5;729.22846469
325;2.0;0.7;1.10;1;745.02461063
326;;0.3;1.10;1;775.89190995
327;;0.0;1.10;1;792.73203014
328;2.0;2.0;2.20;2;798.81145955
329;;1.0;1.10;1;1820.5795947
330;8.2;6.0;5.56;5;834.97019113
331;26.3;17.0;5.57;5;828.61557231
332;;0.8;1.10;1;1489.3899013
333;6.0;6.0;5.56;5;809.63360764
334;6.0;6.0;5.56;5;803.47181526
335;2.6;2.5;5.56;5;2446.3608554
336;;0.3;1.10;1;2567.2549728
337;5.6;4.0;5.57;5;819.29290325
338;2.6;2.0;5.50;5;813.57392123
339;;;;;481.74413741
340;4.0;7.0;5.57;5;784.57616154
341;4.0;6.0;5.56;5;766.35641617
342;;;;;1061.7216294
343;4.0;5.0;5.56;5;2866.7061339
344;3.9;8.0;3.30;3;1048.6437848
345;;4.0;5.50;5;1115.7572867
346;;;;;1048.0934209
347;2.6;0.0;1.10;1;538.17511189
348;3.9;2.5;5.56;5;1490.1048924
349;10.1;12.0;5.56;5;1478.7643096
350;;1.0;1.10;1;3034.144214
351;6.4;4.0;5.56;5;1403.6723863
352;2.6;5.0;3.30;3;535.76375489
354;;40.0;5.57;5;1360.8898338
355;110.9;110.0;5.58;5;719.7764724
356;;;;;555.94502672
358;2.9;3.0;5.56;5;552.06431495
360;3.9;3.0;5.50;5;721.85525723
361;3.9;3.0;5.50;5;587.39099814
362;3.9;3.0;5.50;5;587.39099814
363;3.9;5.0;5.57;5;434.11940224
364;2.7;7.0;2.24;2;437.44864612
365;;2.0;5.50;5;1329.1533097
366;2.6;2.0;3.30;3;822.80556157
367;1.5;1.0;1.10;1;816.54352281
368;;0.5;1.10;1;1053.0540437
369;;0.5;1.10;1;856.89542276
370;;;;;671.51989416
371;;;;;676.66975267
372;;0.5;1.10;1;1528.9354816
373;2.6;3.0;5.56;5;1299.6493533
375;;1.0;2.20;2;1416.681814
376;;;;;658.16456117
377;1.5;2.0;3.30;3;663.21199818
378;40.9;50.0;5.58;5;621.43232134
379;;0.1;1.10;1;1355.0514752
380;6.1;8.0;2.20;2;1026.568877
381;2.6;4.0;3.30;3;1189.6353225
382;2.6;4.0;3.30;3;1198.7585869
383;3.2;5.0;3.30;3;595.46838019
384;;;;;590.93651233
385;;2.0;3.32;3;1524.2006494
386;9.9;10.0;5.57;5;959.57284009
387;;20.0;5.57;5;1888.9545676
388;;27.0;3.30;3;604.93990539
389;216.3;3.0;5.50;5;1181.7834918
390;2.8;3.5;3.30;3;1314.3170325
391;;;;;848.25107908
392;;1.0;1.10;1;841.79538482
393;646.7;75.0;3.30;3;1603.8736767
395;;;;;1591.6672459
396;;;;;1049.5609233
397;6.1;5.0;5.50;5;1125.2973028
398;;;;;1099.7345411
399;;;;;1108.1683602
400;6.8;12.0;5.56;5;1683.5412073
401;;0.4;1.10;1;1478.7643096
402;1.8;5.0;5.56;5;2263.7832659
403;6.5;10.0;5.56;5;1821.0943194
404;4.1;0.5;1.10;1;1833.4931141
405;;;;;1253.6169853
406;4.7;7.0;5.56;5;1233.8956624
407;;0.1;1.10;1;2569.0371322
408;;;;;1288.6508903
410;2.6;4.0;2.20;2;1297.7094049
411;10.2;10.0;5.56;5;1093.9177104
412;;3.0;5.50;5;1085.5923473
413;;1.0;1.10;1;2493.1593532
414;8.5;9.0;2.24;2;1251.3782775
415;23.5;30.0;3.30;3;1260.9750461
416;;0.5;1.10;1;1313.2188159
417;;;;;1313.2188159
418;5.8;7.0;5.57;5;415.94329712
419;6.5;7.0;5.56;5;424.95323206
420;;0.7;1.10;1;421.71898022
421;;0.3;1.10;1;421.71898022
422;4.5;5.0;3.30;3;647.55945121
423;;0.7;5.50;5;1276.5705153
424;;;;;1384.609387
425;2.6;4.0;5.56;5;1550.4028336
426;5.8;7.0;5.56;5;1414.4297184
427;5.8;7.0;5.58;5;1307.9694162
428;;13.0;5.57;5;1206.8637245
429;;;;;1216.1191129
430;;0.1;1.10;1;1206.8634227
431;;0.1;1.10;1;1206.8634227
432;;10.0;5.56;5;866.85112034
433;;;;;872.75301622
434;;;;;897.36827593
435;11.9;14.0;5.57;5;891.10429755
436;;1.0;1.10;1;1339.3899955
437;;;;;1329.1964425
438;;0.5;1.10;1;1714.1960588
439;1.6;1.0;2.20;2;2085.5942486
440;11.4;17.0;5.57;5;1157.2187331
441;7.6;10.0;5.57;5;1166.0933961
442;;0.3;1.10;1;1157.2184437
443;;0.3;1.10;1;1157.2184437
444;;0.0;;;2845.3812518
445;;11.0;5.56;5;1384.9364544
446;5.6;7.0;5.56;5;1394.6718042
448;6.0;7.0;5.56;5;936.74170776
449;;11.0;5.56;5;929.61254728
450;;0.5;1.10;1;929.61231477
451;;0.1;1.10;1;1294.067571
452;5.6;8.0;5.50;5;1284.2189486
453;;55.0;5.57;5;1264.0162098
454;1.8;0.5;1.10;1;1064.7155814
455;;;;;1284.8367824
456;1.6;1.5;1.10;1;3359.9932505
457;;15.0;5.57;5;1397.1685085
458;4.4;5.0;5.56;5;1023.6678997
459;;;;;1287.4083987
461;5.4;8.0;5.56;5;1296.4581793
462;;;;;1064.7155814
463;8.5;7.0;2.20;2;654.75171602
464;4.5;5.0;2.20;2;659.77298006
465;2.2;4.0;5.56;5;1933.3543942
466;3.9;3.0;5.50;5;1491.216731
467;4.1;4.0;2.20;2;1002.3339278
468;7.9;9.0;5.56;5;560.72779492
469;3.3;3.0;1.10;1;565.02799337
471;1.3;2.5;5.50;5;503.93834188
472;2.7;5.0;3.30;3;1373.5906522
473;;33.0;5.57;5;692.85679326
474;1.5;0.5;1.10;1;916.19999623
475;2.0;5.0;3.30;3;1247.9230944
477;62.4;75.0;6.63;6;1181.3428365
478;;;;;1326.8828679
479;7.5;13.0;3.30;3;1316.7845015
480;3.9;4.0;5.56;5;1477.0419615
481;9.6;13.0;5.57;5;684.07919349
482;;0.5;1.10;1;778.76542473
483;1.5;8.0;5.56;5;965.74714988
484;7.9;7.0;2.24;2;1062.1953777
486;1.5;5.0;5.56;5;951.95404455
487;;;;;1237.9969108
488;;1.0;1.10;1;1298.9144135
489;;0.0;;;1402.126228
490;;1.0;1.10;1;1089.5301438
491;;;;;1271.6251077
492;;1.0;1.10;1;1322.0071848
493;;;;;1331.0079793
494;14.2;15.0;5.57;5;1048.0934209
496;;;;;1098.3894299
497;;;;;1106.8129334
498;;0.3;1.10;1;2833.0723308
499;;30.0;3.32;3;1265.2455797
500;2.6;1.5;1.10;1;1262.8240582
501;;1.0;1.10;1;1272.5086041
502;;0.5;1.10;1;966.60433046
503;;0.3;1.10;1;1325.2302235
504;;0.2;1.10;1;1325.2302235
505;4.7;10.0;5.56;5;1493.5030559
506;5.2;12.0;2.24;2;795.4356414
507;5.3;12.0;5.56;5;795.4356414
508;3.5;10.0;5.56;5;1249.4392332
509;;;;;1415.5751416
510;4.9;8.0;5.56;5;1040.4397271
511;3.8;10.0;5.56;5;1515.1428032
512;;;;;518.00820118
513;;;;;529.22900994
514;3.8;10.0;5.56;5;1399.3648653
515;;1.0;1.10;1;819.81466136
516;2.6;4.0;2.20;2;1049.5089777
517;;;;;1192.4798599
518;;1.0;1.10;1;1201.6249391
519;2.5;5.0;5.50;5;4107.9540453
520;;1.0;1.10;1;1287.4083987
521;5.3;10.0;5.56;5;1296.4581793
522;;;;;1367.3978942
523;;;;;1356.9911845
524;;0.5;1.10;1;1038.6827419
525;4.7;10.0;5.56;5;1483.6956848
526;;1.5;1.10;1;583.02161455
528;;20.0;5.57;5;625.09248942
529;2.2;4.0;5.50;5;1393.2010338
530;5.3;8.0;5.56;5;1283.4424637
531;;21.0;3.30;3;1293.2851313
532;3.8;5.0;5.56;5;1263.2519403
533;10.1;13.0;5.56;5;1194.235394
534;2.6;3.0;1.10;1;1168.9150001
535;;0.3;1.10;1;1243.7140566
536;;0.3;1.11;1;1243.7140566
537;3.6;7.0;5.56;5;1493.447814
538;3.5;10.0;5.56;5;934.72881943
539;;0.5;1.10;1;3978.206924
540;4.7;8.0;5.56;5;1486.086834
541;;;;;623.28269443
542;;;;;623.28269443
543;3.4;6.0;5.56;5;2933.9169427
544;4.9;9.0;5.56;5;822.3561909
545;;20.0;5.57;5;828.1369075
546;2.5;3.0;1.10;1;1070.4769973
547;2.6;4.0;5.56;5;1078.6864415
548;;0.5;1.10;1;3687.6684121
549;7.0;12.0;5.56;5;786.1426357
550;2.6;2.0;1.10;1;780.15962356
551;;1.0;1.10;1;836.45598905
552;13.2;15.0;6.63;6;982.49426046
553;;0.3;1.10;1;982.49401472
554;;0.3;1.11;1;982.49401472
555;2.6;2.0;5.56;5;411.22053732
556;;20.0;3.32;3;569.68999035
557;;0.2;1.10;1;511.99286306
558;;0.1;1.11;1;569.68984786
559;4.9;8.0;5.56;5;866.64552031
560;;15.0;5.57;5;848.27074594
561;;0.3;1.11;1;902.55172569
562;5.7;10.0;5.56;5;1231.1519774
563;12.0;15.0;5.56;5;1417.8473565
565;;;;;1198.3673082
566;;0.3;1.10;1;1172.9593088
567;;0.2;1.11;1;1248.0171612
568;3.4;6.0;5.56;5;1455.9463825
569;8.1;15.0;5.56;5;1446.4949274
570;14.2;10.0;5.57;5;1327.9167828
571;;15.0;5.57;5;745.83155602
572;5.2;7.0;5.56;5;751.55130762
573;;0.2;1.10;1;1340.5902867
574;;;;;811.85318179
575;7.0;8.0;5.56;5;805.67449713
576;;0.3;1.10;1;917.19123739
577;14.2;19.0;5.57;5;1278.9657939
578;;16.0;5.57;5;1455.9463825
579;44.4;60.0;5.57;5;1419.3764518
580;3.5;4.0;5.56;5;1409.468654
581;;0.2;1.11;1;1429.0401782
582;;0.2;1.11;1;1499.660777
583;6.9;3.0;5.56;5;1415.442066
584;5.2;8.0;5.56;5;1138.4802398
585;;0.5;1.10;1;1310.0258378
586;3.7;5.0;5.56;5;1422.5363321
587;;3.0;5.56;5;1432.5359885
588;4.2;3.0;3.30;3;839.35977149
589;5.2;6.0;5.56;5;1342.903859
591;5.7;7.0;5.56;5;1462.820295
592;4.1;5.0;5.56;5;1246.9656664
593;4.1;5.0;5.56;5;1237.4755175
594;14.0;18.0;5.57;5;971.54628842
596;5.7;7.0;5.56;5;1295.0371326
597;;0.3;1.10;1;1693.334159
598;;;;;1192.9987209
599;8.6;12.0;5.56;5;1183.9192925
600;;0.4;1.10;1;2695.5809193
601;;;;;1102.0319186
602;5.3;7.0;5.56;5;1093.6448015
603;;0.2;1.10;1;1674.2186597
604;;;;;1171.1542884
605;3.7;4.0;5.56;5;1162.241109
606;;0.5;1.10;1;2997.7647617
607;4.6;4.0;5.56;5;1348.4089565
608;5.7;7.0;5.56;5;894.97993276
609;12.6;10.0;5.57;5;1276.6598354
610;3.7;4.0;5.56;5;1267.748255
611;;2.0;1.10;1;698.28790289
612;;5.0;5.56;5;1249.7397938
613;6.8;8.0;5.56;5;882.19754714
614;12.1;11.0;5.57;5;1302.5628754
615;;40.0;5.57;5;1292.6495986
616;;;;;1103.9202733
617;6.0;3.0;5.50;5;1378.8810236
618;;1.0;1.10;1;1357.8903829
619;3.7;3.0;5.56;5;1367.4356135
620;12.4;10.0;5.56;5;1300.2068246
621;3.7;2.0;5.56;5;400.17037669
622;8.5;15.0;5.56;5;397.12484257
623;;;;;787.39605902
624;8.5;10.0;5.56;5;1229.1264174
626;6.8;9.0;5.56;5;2674.7972013
627;4.6;6.0;5.56;5;614.5631169
629;4.5;5.0;5.56;5;1416.2098675
631;8.5;10.0;5.56;5;1432.9671551
633;16.5;20.0;5.57;5;1422.9644889
634;7.4;7.5;2.25;2;1163.202043
635;;2.0;1.10;1;1154.3493849
636;;0.5;1.10;1;2368.5062485
637;;1.5;1.10;1;1201.0687055
638;4.7;7.0;5.50;5;1423.8522257
639;;0.7;1.10;1;1433.8611321
640;6.0;5.5;5.56;5;1409.2610561
641;2.9;2.0;5.56;5;1309.1489323
642;;;;;1409.2610561
643;5.7;7.0;5.56;5;1585.4720313
644;;0.3;1.10;1;718.50950892
645;;;;;718.50950892
646;;;;;1490.1048924
647;2.9;5.0;5.56;5;1478.7643096
648;;1.0;1.10;1;3366.8923907
649;5.2;8.0;5.56;5;730.65681363
650;4.2;1.0;5.56;5;559.26717229
651;8.5;0.0;5.56;5;971.77076881
653;5.7;7.0;5.56;5;1228.2667819
654;;0.5;1.10;1;1218.9189426
655;5.7;7.0;5.56;5;2399.4869466
656;6.8;12.0;5.56;5;1468.8227444
657;3.4;8.0;5.56;5;1457.6441314
658;9.4;15.0;3.31;3;1434.7131478
659;;0.0;5.56;5;1115.7255997
660;6.0;10.0;5.56;5;1562.8278198
661;10.6;10.0;5.56;5;795.61232965
662;447.1;600.0;6.60;6;1319.3693941
664;;3.0;3.31;3;1310.1596843
665;2.5;3.0;3.32;3;1393.9970106
666;2.5;3.0;3.32;3;1393.9970106
667;3.2;3.0;5.50;5;693.22858267
668;12.6;12.0;5.57;5;1213.285986
669;9.1;7.0;5.56;5;1144.6449289
670;;44.0;3.30;3;1153.4231638
672;5.1;4.0;5.56;5;3379.913712
673;;;;;1276.4003338
674;3.7;3.0;5.56;5;1368.5054589
676;6.9;5.0;5.56;5;822.44119747
677;;0.0;1.10;1;677.52563642
678;;;;;784.39329065
679;3.2;2.0;5.56;5;592.92370935
680;5.4;5.0;5.56;5;785.5154083
682;2.5;1.0;1.10;1;1168.9317824
683;6.5;8.0;5.56;5;1216.4885665
684;5.5;6.0;5.56;5;1401.2817895
685;10.3;20.0;5.57;5;2525.0701802
686;4.3;5.0;5.56;5;1352.4656881
687;3.2;3.0;5.56;5;1343.0249533
688;11.8;16.0;5.57;5;672.542882
689;;;;;541.16117544
690;;;;;537.04261765
691;;0.0;1.10;1;537.04248333
692;7.6;8.0;5.56;5;637.27292408
693;3.2;5.0;2.20;2;632.82451206
694;;0.0;1.10;1;673.31905309
695;;0.0;1.10;1;641.6117527
696;;16.0;5.57;5;1377.1514483
697;4.0;10.0;5.56;5;644.57998504
698;;1.0;1.10;1;318.95947631
699;;2.0;5.56;5;530.8607354
700;4.9;5.0;5.56;5;923.4793297
701;6.5;7.0;5.56;5;1446.0225258
702;;15.0;5.56;5;1276.3232292
703;9.9;8.0;3.30;3;1355.3041935
704;11.9;15.0;5.59;5;1294.6796881
705;2.4;3.0;5.50;5;1285.642322
706;;0.0;1.10;1;1357.4185606
707;;0.0;1.10;1;1227.8692188
708;2.0;2.0;5.56;5;1208.5529479
709;2.4;3.0;5.50;5;1251.3765026
710;3.4;4.0;3.30;3;1348.4089565
711;13.3;11.0;3.30;3;1410.0551777
712;;0.0;1.10;1;1145.6549722
713;;2.0;1.10;1;1136.9358578
714;3.4;5.0;5.56;5;1198.4820034
715;;2.0;1.10;1;917.35494498
716;8.0;7.0;3.30;3;535.40960396
718;5.8;10.0;3.30;3;531.33481904
720;;1.0;3.32;3;1635.2975823
721;6.7;12.0;5.56;5;697.43706116
722;6.7;12.0;5.56;5;692.12915111
723;;0.0;1.10;1;1420.1178954
724;11.9;15.0;5.57;5;577.95273875
725;;0.0;1.10;1;565.69888072
726;;1.5;5.50;5;573.55403187
727;;1.5;5.50;5;601.89804194
728;;15.0;5.57;5;1222.67652
729;6.5;7.0;5.56;5;1214.1417639
730;;;;;1328.3042914
731;6.8;10.0;5.56;5;1259.7932413
732;;;;;1372.2882011
733;;1.0;1.10;1;833.86316091
734;2.4;1.5;5.50;5;885.39169278
