;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
18241;;10.0;3.30;3;2848.6900399
18242;;6.0;3.30;3;2849.6468872
18243;;1.5;3.30;3;609.5454136
18244;;2.0;1.10;1;1937.0208551
18245;;1.0;1.10;1;2651.3195397
18246;;;;;1698.4193009
18247;;1.0;1.10;1;1698.9897835
18248;;;;;791.46518805
18249;;;;;791.73103353
18250;;0.0;;;788.43959624
18252;;;;;2320.5929766
18253;7.8;5.0;3.30;3;881.58395733
18254;;;;;881.59197107
18255;;;;;1569.8039642
18256;;3.0;5.50;5;1569.6893221
18258;6.7;2.0;3.30;3;2434.4983213
18259;;5.0;3.30;3;2604.09926
18260;;0.0;;;2531.519033
18261;;4.0;2.20;2;3405.5098476
18262;;4.5;2.20;2;2334.1521563
18263;;6.0;3.30;3;1709.4657942
18264;;7.0;3.30;3;2606.3380989
18265;;1.0;3.30;3;2607.2135426
18266;;3.0;3.33;3;3163.7521977
18267;;10.0;3.31;3;1239.0050616
18268;;7.0;3.31;3;1238.9145776
18269;;1.0;3.32;3;1209.4119831
18270;;1.0;3.32;3;1239.0163244
18271;13.1;25.0;3.30;3;2824.858222
18272;4.9;9.0;3.30;3;1007.7543839
18273;4.9;10.0;3.31;3;841.8985074
18274;;0.5;1.10;1;841.61581681
18275;4.9;10.0;3.32;3;2662.2681263
18276;;;;;1119.7232172
18277;;5.0;3.32;3;1119.7330039
18278;13.1;12.5;3.30;3;747.91825306
18279;13.1;14.0;3.30;3;747.66711893
18280;;8.5;3.30;3;747.66711893
18281;13.1;25.0;3.30;3;747.91825306
18282;13.1;15.0;3.30;3;1622.4208332
18283;12.0;15.0;5.50;5;1850.880608
18284;12.0;15.0;5.50;5;1987.7294323
18285;;4.5;3.30;3;788.42944218
18287;18.4;20.0;3.31;3;788.16470531
18288;7.4;9.0;3.30;3;863.57687817
18289;8.0;13.0;3.30;3;863.28690847
18290;7.7;12.0;3.30;3;597.78585216
18291;8.8;5.0;3.31;3;2191.6446732
18292;8.8;6.0;5.50;5;2200.0549841
18293;;0.5;1.10;1;2191.8246635
18294;;0.5;1.10;1;2191.8238968
18295;8.8;6.0;3.30;3;1243.3713379
18296;13.3;16.0;3.32;3;1242.9538418
