;gain_net_numeric_uc_fuel;gain_net_numeric_uc_chauffage;gain_net_numeric_uc_taxe_carbone
0;-26.136617817808958;-24.49985679236584;-50.6364746101748
1;-7.1808514838692945;-206.46658609581542;-213.64743757968472
2;-212.02434683055253;39.31217696674108;-172.71216986381148
3;60.0;-44.9964485413027;15.003551458697302
4;11.391661479307913;-6.796727858091951;4.594933621215962
5;-42.899221935550486;-147.0897914665993;-189.9890134021498
6;43.16869180485215;-170.8405118501984;-127.67182004534625
7;-51.50463533009357;30.303030303030305;-21.201605027063263
8;12.571289886199907;50.0;62.57128988619991
9;-15.103356444521069;-133.5294329807548;-148.63278942527586
10;80.0;60.217446013303196;140.2174460133032
11;38.83396597961951;66.66666666666667;105.50063264628618
12;80.0;66.66666666666667;146.66666666666666
13;21.692068488138716;-143.3306780979386;-121.63860960979987
14;60.0;27.354618701919037;87.35461870191904
15;19.311519376343313;66.66666666666667;85.97818604300998
16;40.0;-159.51338556783807;-119.51338556783806
17;-56.088916595922456;50.0;-6.088916595922456
18;-127.4222831470156;50.0;-77.4222831470156
19;-124.277990215365;-0.6202814041682814;-124.89827161953328
20;-59.85700365770231;50.0;-9.857003657702307
21;33.13537274260432;25.232358485527016;58.36773122813133
22;36.526123695255855;66.66666666666667;103.19279036192252
23;-55.011150867926766;55.55555555555556;0.5444046876287858
24;-52.67888736580735;40.0;-12.67888736580735
25;-157.05721538752715;40.0;-117.05721538752714
26;60.0;49.48432353497843;109.48432353497843
27;-1.2760573644867084;33.333333333333336;32.057275968846625
28;-48.95485958118358;66.66666666666667;17.711807085483088
29;-80.8464707018004;-53.79042442842373;-134.63689513022413
30;-96.51997505349841;-25.453690799690882;-121.97366585318929
31;-80.5667274345451;-120.98965367002256;-201.55638110456766
32;-42.93026479998692;-87.71299683738305;-130.64326163736996
33;24.639676606728813;-7.240939906102369;17.398736700626444
34;26.712823756983425;66.66666666666667;93.3794904236501
35;-63.94340752889718;-304.5412120910846;-368.4846196199818
36;8.154786435549491;66.66666666666667;74.82145310221615
37;60.0;-14.04381455463323;45.95618544536677
38;-82.72979220561497;38.46153846153846;-44.26825374407652
