;gain_net_numeric_uc_fuel;gain_net_numeric_uc_chauffage;gain_net_numeric_uc_taxe_carbone
0;10.984695975981444;-8.488774322781486;2.4959216531999573
1;27.691489109678514;-151.83993554331906;-124.14844643364056
2;-103.21460809833115;41.449741573392856;-61.7648665249383
3;60.0;-25.997158833042135;34.002841166957865
4;38.834996887584715;7.895951046859788;46.73094793444451
5;6.260466838669648;-104.33849983994605;-98.07803300127641
6;57.9012150829113;-123.33907614682539;-65.4378610639141
7;-16.357326652601483;30.303030303030305;13.94570365042882
8;31.542773931720035;50.0;81.54277393172003
9;22.937986133287477;-93.49021305127037;-70.55222691798288
10;80.0;61.507290143975894;141.5072901439759
11;55.30037958777166;66.66666666666667;121.96704625443833
12;80.0;66.66666666666667;146.66666666666666
13;29.01524109288327;-107.99787581168403;-78.98263471880075
14;60.0;31.88369496153524;91.88369496153524
15;43.5869116258059;66.66666666666667;110.25357829247257
16;40.0;-120.94404178760367;-80.94404178760367
17;-9.6533499575537;50.0;40.3466500424463
18;-52.45336988820918;50.0;-2.4533698882091812
19;-53.69722891182757;8.19942705057844;-45.49780186124914
20;-11.914202194621339;50.0;38.08579780537866
21;43.88122364556256;30.185886788421612;74.06711043398417
22;53.9156742171535;66.66666666666667;120.58234088382017
23;-6.340023854089369;55.55555555555556;49.21553170146618
24;-12.407332419484373;40.0;27.592667580515627
25;-75.0343292325164;40.0;-35.03432923251639
26;60.0;49.58745882798274;109.58745882798274
27;15.23436558130796;33.333333333333336;48.56769891464129
28;2.627084251290095;66.66666666666667;69.29375091795676
29;-31.36502527822301;-35.88948239988181;-67.25450767810482
30;-35.054842174956015;-10.839143115943097;-45.89398529089911
31;-24.34003646072688;-86.791722936018;-111.13175939674488
32;6.241841120007848;-56.83706413657304;-50.59522301656519
33;38.7838059640373;4.207248075118116;42.991054039155415
34;48.02769425419016;66.66666666666667;114.69436092085682
35;-26.366044517338253;-238.63296967286806;-264.9990141902063
36;36.892871861329844;66.66666666666667;103.55953852799651
37;60.0;-1.2350516437066403;58.76494835629336
38;-31.176336861830386;38.46153846153846;7.285201599708076
39;-4.597711113282419;30.44187766103253;25.84416654775011
40;42.57115340680745;-24.52781529067867;18.04333811612878
41;60.0;50.0;110.0
42;-51.625702246210494;-100.88003919828583;-152.50574144449632
43;-10.60801728690808;50.0;39.39198271309192
44;14.000311737977132;43.47826086956522;57.478572607542354
45;-48.225941257131645;47.61904761904762;-0.6068936380840265
46;-0.40743866262558487;38.16580524464283;37.75836658201725
47;-27.357353252694793;50.0;22.642646747305207
48;-22.547187794656747;40.0;17.452812205343253
49;12.880736396383327;66.66666666666667;79.54740306305
50;17.698043940667276;16.677924532513657;34.37596847318093
51;1.9113749495190426;47.61904761904762;49.53042256856666
52;-108.55159805103322;-7.889773017909105;-116.44137106894233
53;-71.375285614823;-17.371402106955536;-88.74668772177853
54;63.79794103326344;66.66666666666667;130.4646076999301
55;60.0;50.0;110.0
56;36.79523757031343;41.66666666666667;78.4619042369801
57;70.7128876819205;30.654942445388656;101.36783012730916
58;12.07604302504357;66.66666666666667;78.74270969171023
59;-2.3394452908272796;-35.18526917424642;-37.5247144650737
60;-216.5931108742534;50.0;-166.5931108742534
61;60.0;50.0;110.0
62;5.511058616906474;30.303030303030305;35.81408891993678
63;67.22630705204546;-79.30737977278405;-12.081072720738595
64;60.0;50.0;110.0
65;-23.10011447289197;46.53016573179007;23.430051258898096
66;31.682480016530743;47.61904761904762;79.30152763557835
67;80.0;20.164922595920796;100.1649225959208
68;-64.79955164112198;-40.02666679498668;-104.82621843610866
69;67.21452393720874;42.393657505474984;109.60818144268372
70;-13.133552907115245;50.0;36.866447092884755
71;60.0;50.0;110.0
72;-5.908547412987218;50.0;44.09145258701278
73;23.856724080497923;-51.44369810164244;-27.586974021144517
74;-4.821882912981285;62.650435837418264;57.828552924436984
75;23.693044250912106;-149.93987689986625;-126.24683264895414
76;-63.164154070771126;19.840835452651152;-43.32331861811998
77;22.342394818692924;-8.33424554943258;14.008149269260343
78;-44.389508636979144;-49.75301193878818;-94.14252057576732
79;60.0;3.9459270998972897;63.94592709989729
80;22.881770134122927;-32.940258175288804;-10.058488041165873
81;43.57681577283485;55.55555555555556;99.1323713283904
82;80.0;-40.116163637537134;39.883836362462866
83;-31.615038743803172;66.66666666666667;35.051627922863496
84;60.0;-64.69630940482443;-4.696309404824433
85;54.932175159264034;41.96592151878375;96.89809667804779
86;50.04224961902878;-11.017908949885623;39.02434066914316
87;42.62312597719605;47.6660933980825;90.28921937527855
88;14.698464559543307;-88.09934010487528;-73.40087554533197
89;-16.914452136560005;33.333333333333336;16.418881196773327
90;-67.23726104434134;35.714285714285715;-31.52297533005562
91;3.597388555575435;50.0;53.597388555575435
92;19.11347345373315;50.0;69.11347345373315
93;34.317566418669266;33.333333333333336;67.6508997520026
94;60.0;-465.5885722240391;-405.5885722240391
95;18.112739146901845;24.401290419152645;42.51402956605449
96;18.765166189484034;-64.00344264980015;-45.238276460316115
97;-13.032551755983917;47.61904761904762;34.586495863063696
98;-27.639196292486304;34.07182098221039;6.4326246897240935
99;-44.781367942902;55.266321895304124;10.484953952402122
100;9.263166186549824;50.0;59.263166186549824
101;45.325242304685695;46.25148856910513;91.57673087379082
102;-17.889849046100426;19.7839714495987;1.8941224034982724
103;80.0;7.434098068680214;87.43409806868021
104;1.614233103842101;-28.336204740079364;-26.72197163623726
105;-23.10011447289197;-15.157126667963388;-38.25724114085536
106;23.951945313529297;66.66666666666667;90.61861198019596
